day,channel_type,num_posts
2021-06-27 00:00:00-07,chat,916
2021-06-26 00:00:00-07,link,4
2021-06-26 00:00:00-07,post,4
2021-06-26 00:00:00-07,publish,13
2021-06-26 00:00:00-07,chat,1117
2021-06-25 00:00:00-07,post,9
2021-06-25 00:00:00-07,link,5
2021-06-25 00:00:00-07,chat,1636
2021-06-25 00:00:00-07,publish,13
2021-06-24 00:00:00-07,post,6
2021-06-24 00:00:00-07,link,4
2021-06-24 00:00:00-07,publish,8
2021-06-24 00:00:00-07,chat,1712
2021-06-23 00:00:00-07,post,5
2021-06-23 00:00:00-07,link,3
2021-06-23 00:00:00-07,publish,5
2021-06-23 00:00:00-07,chat,1104
2021-06-22 00:00:00-07,publish,15
2021-06-22 00:00:00-07,link,9
2021-06-22 00:00:00-07,post,6
2021-06-22 00:00:00-07,chat,962
2021-06-21 00:00:00-07,publish,47
2021-06-21 00:00:00-07,chat,1405
2021-06-21 00:00:00-07,post,4
2021-06-21 00:00:00-07,link,5
2021-06-20 00:00:00-07,chat,1025
2021-06-20 00:00:00-07,post,21
2021-06-20 00:00:00-07,link,3
2021-06-20 00:00:00-07,publish,6
2021-06-19 00:00:00-07,publish,1
2021-06-19 00:00:00-07,post,5
2021-06-19 00:00:00-07,chat,854
2021-06-19 00:00:00-07,link,1
2021-06-18 00:00:00-07,link,6
2021-06-18 00:00:00-07,publish,13
2021-06-18 00:00:00-07,post,3
2021-06-18 00:00:00-07,chat,1182
2021-06-17 00:00:00-07,link,7
2021-06-17 00:00:00-07,chat,1260
2021-06-17 00:00:00-07,post,9
2021-06-17 00:00:00-07,publish,14
2021-06-16 00:00:00-07,post,3
2021-06-16 00:00:00-07,publish,10
2021-06-16 00:00:00-07,link,9
2021-06-16 00:00:00-07,chat,1282
2021-06-15 00:00:00-07,link,3
2021-06-15 00:00:00-07,post,3
2021-06-15 00:00:00-07,publish,11
2021-06-15 00:00:00-07,chat,1728
2021-06-14 00:00:00-07,publish,32
2021-06-14 00:00:00-07,chat,1618
2021-06-14 00:00:00-07,post,7
2021-06-14 00:00:00-07,link,12
2021-06-13 00:00:00-07,link,2
2021-06-13 00:00:00-07,post,12
2021-06-13 00:00:00-07,publish,7
2021-06-13 00:00:00-07,chat,764
2021-06-12 00:00:00-07,chat,983
2021-06-12 00:00:00-07,publish,9
2021-06-12 00:00:00-07,link,1
2021-06-12 00:00:00-07,post,5
2021-06-11 00:00:00-07,link,7
2021-06-11 00:00:00-07,chat,1143
2021-06-11 00:00:00-07,post,10
2021-06-11 00:00:00-07,publish,14
2021-06-10 00:00:00-07,chat,928
2021-06-10 00:00:00-07,publish,18
2021-06-10 00:00:00-07,post,3
2021-06-10 00:00:00-07,link,5
2021-06-09 00:00:00-07,publish,11
2021-06-09 00:00:00-07,chat,1234
2021-06-09 00:00:00-07,post,5
2021-06-09 00:00:00-07,link,7
2021-06-08 00:00:00-07,chat,1196
2021-06-08 00:00:00-07,link,6
2021-06-08 00:00:00-07,publish,17
2021-06-08 00:00:00-07,post,2
2021-06-07 00:00:00-07,chat,1207
2021-06-07 00:00:00-07,link,10
2021-06-07 00:00:00-07,publish,23
2021-06-07 00:00:00-07,post,9
2021-06-06 00:00:00-07,post,3
2021-06-06 00:00:00-07,link,2
2021-06-06 00:00:00-07,publish,4
2021-06-06 00:00:00-07,chat,877
2021-06-05 00:00:00-07,publish,7
2021-06-05 00:00:00-07,link,1
2021-06-05 00:00:00-07,chat,681
2021-06-05 00:00:00-07,post,6
2021-06-04 00:00:00-07,link,2
2021-06-04 00:00:00-07,post,9
2021-06-04 00:00:00-07,publish,17
2021-06-04 00:00:00-07,chat,1059
2021-06-03 00:00:00-07,publish,11
